claim_id	word_pos	readability	model	claim	label
8090	إِقْلِيم_noun	3	GPT4	استضاف إقليم لومبارديا في إيطاليا الألعاب الأولمبية الشتوية لعام 2026.	FC
46	إِلَى_prep	1	GPT4	الرحلة الأولى إلى القمر قامت بها المركبة الفضائية أبولو 11 في عام 1969.	FC
8557	بَدْء_noun	3	GPT4	بدء البناء العظيم للمسجد الحرام في مكة المكرمة يعود إلى القرن السابع الميلادي على يد الخليفة عمر بن الخطاب.	NF
1861	كَلام_noun	1	ChatGPT	الكلام هو وسيلة التواصل الأساسية بين البشر.	NF
1655	سابِق_adj	3	ChatGPT	الرئيس السابق للولايات المتحدة الأمريكية هو باراك أوباما.	FI
9268	أَبَد_noun	2	GPT4	يعتبر الأبد الفارسي نظاماً زمنياً قديماً يعود إلى العصور الأولى للفرس.	NF
5889	مَعْنَى_noun	1	GPT4	معنى كلمة "مطر" في اللغة العربية هو قطرات الماء التي تتساقط من السماء على الأرض.	FC
395	عام_noun	2	ChatGPT	يحتفل العالم بالعام الدولي للتمر في 7 يونيو من كل عام.	FI
3901	عَقْد_noun	3	ChatGPT	تم توقيع عقد بيع المنزل بين البائع والمشتري.	NF
4369	سَيْر_noun	3	GPT4	سير النهر الأزرق الطويل يمتد لأكثر من ٦٥٠٠ كيلومتر حيث يعتبر أطول نهر في العالم.	NF
62	قال_verb	1	ChatGPT	قالت دراسة حديثة إن الأردن يعاني من نقص حاد في المياه.	FC
186	هُوَ_pron	1	GPT4	هو الجمال يعتبر أسرع حيوان على اليابسة ويستطيع أن يصل سرعته إلى 120 كيلومتراً في الساعة.	FI
9066	قِسْم_noun	1	GPT4	قسم الفيزياء هو أحد أقسام كلية العلوم في الجامعات.	FC
6238	أَعَدّ_verb	3	GPT4	أعد العالم ماري كوري بحوثًا حول الإشعاع وساعدت في اكتشاف البولونيوم والراديوم.	FC
2125	قَضِيَّة_noun	3	ChatGPT	قضية العنف ضد المرأة تعد من أكثر القضايا إلحاحًا في العالم.	FC
8120	قَوْمِيّ_adj	4	GPT4	عاش قومي المايا في منطقة المكسيك وأمريكا الوسطى وتميزوا بعلمهم في الفلك والتقويم.	FC
9617	ٱِعْتِماد_noun	2	GPT4	الاعتماد المصرفي هو أداة مالية تستخدم لضمان الدفع بين البائع والمشتري في المعاملات التجارية.	FC
3492	قَلِيل_adj	1	ChatGPT	اليابان تعتبر من الدول التي تمتلك قليل من الموارد الطبيعية.	FC
4238	فَقَط_adv	2	GPT4	يتكون السيروم المضاد للسم من مصل الحصان فقط.	NF
7395	ٱِرْتِفاع_noun	2	ChatGPT	يصل ارتفاع جبل طارق في جبل طارق إلى 426 مترًا فوق مستوى سطح البحر.	FC
9382	هُنَيْهَة_noun	5	ChatGPT	يستخدم المصريون الهنيهة بدلاً من كلمة "لحظة".	FI
3040	مَوْقِف_noun	2	GPT4	تعتبر مواقف الدراجات الهوائية منتشرة في مدن أوروبا لتشجيع استخدام وسائل المواصلات الصديقة للبيئة.	NF
2532	حَدَث_verb	1	ChatGPT	تم تنظيم حدث كبير للاحتفال باليوم الوطني في العاصمة.	NF
7723	أَحْمَر_adj	1	ChatGPT	الفلفل الأحمر يحتوي على فيتامين سي بكميات كبيرة.	FC
7871	عِدَّة_adj	4	ChatGPT	عدة الأدوات المنزلية التي يجب أن توجد في كل منزل هي: المطرقة، المسطرة، المفك، الأداة الكهربائية، المنشار، الفأس، السكين، القياس، الشفرة، والمقص.	NF
3344	شاء_verb	3	ChatGPT	شاء الحظ أن يفوز اللاعب بالجائزة الكبرى في البطولة.	NF
3515	مُؤَسَّسَة_noun	4	ChatGPT	تأسست مؤسسة الأوقاف الإسلامية في القرن الثاني الهجري.	FI
6528	فَتَى_noun	2	GPT4	فتى الشمس هو رواية للكاتب المصري يحيى طاهر عبد الله.	FI
5635	عَرْض_noun	2	ChatGPT	تم عرض الأفلام القصيرة للمخرج المصري يوسف شاهين في مهرجان الأفلام الدولي في برلين.	FC
5897	نَفْط_noun	3	GPT4	ظل البعوضة يمكن أن ينقل فيروس زيكا والملاريا.	FI
3985	قِيمَة_noun	2	ChatGPT	تتغير قيمة العقارات بناءً على العرض والطلب في السوق.	FC
1933	قِطاع_noun	4	ChatGPT	قطاع السياحة يعد من أهم مصادر الدخل في العديد من الدول العربية.	NF
9900	فَنّ_noun	2	GPT4	الفن القديم في مصر القديمة كان يعكس أهمية الدين والملوك في حياة الناس.	NF
9632	مَلِكَة_noun	1	ChatGPT	تعتبر الملكة نفيسة بنت عبد العزيز آل سعود أول ملكة في تاريخ المملكة العربية السعودية.	FI
2019	أَجْل_noun	5	GPT4	في القانون الدولي، يوجد أجل معين لاستخدام القوة المسلحة ضد دولة أخرى.	FC
7744	طَبِيعَة_noun	1	ChatGPT	تتواجد العديد من الحيوانات والنباتات الفريدة في الطبيعة العربية.	FC
722	هَلْ_part_interrog	1	ChatGPT	هل يبلغ عدد سكان الجزائر أكثر من 43 مليون نسمة؟	FC
798	عَيْن_noun	1	GPT4	توجد عين شمس، وهي منطقة في القاهرة، على أنقاض مدينة هليوبوليس القديمة.	FC
3286	أَدَّى_verb	3	GPT4	أدى الزلزال الذي ضرب هاييتي في عام 2010 إلى مقتل أكثر من 200,000 شخص.	FC
5474	مُسْتَقْبَل_noun	1	ChatGPT	يتوقع أن يزداد عدد السكان في العالم بشكل كبير في المستقبل.	FC
8860	حَجْم_noun	2	GPT4	تبلغ الكتلة الحجمية للماء حوالي 1 غرام لكل سنتيمتر مكعب.	FC
9949	خَلا_verb	4	GPT4	ازدهرت الفلسفة والطب والرياضيات في العالم الإسلامي خلا العصور الوسطى.	FC
6863	مَوْعِد_noun	1	ChatGPT	تم تحديد موعد انعقاد المؤتمر الدولي في الطب في الفترة من ١٠ إلى ١٢ نوفمبر ٢٠٢١.	FI
6542	صُنْدُوق_noun	1	ChatGPT	يستخدم الصندوق الوطني للتأمينات الاجتماعية في الولايات المتحدة الأمريكية صندوقًا خاصًا لتمويل الفائض النقدي.	FC
4867	إِعادَة_noun	1	GPT4	تعتبر إعادة تدوير النفايات واحدة من أهم العمليات للحفاظ على البيئة والموارد الطبيعية.	FC
9991	شَخْصِيَّة_noun	2	ChatGPT	شخصية محمد صلاح هي لاعب كرة قدم مصري يلعب في نادي ليفربول الإنجليزي.	FC
4824	ضَحِك_verb	1	ChatGPT	الضحك يمكن أن يحسن من صحة القلب والأوعية الدموية ويقلل من خطر الإصابة بأمراض القلب.	FC
1557	نَظَر_verb	1	GPT4	تتأثر القدرة على النظر بشكل ملحوظ بالعمر، حيث تضعف مع التقدم في السن.	NF
2757	سَبِيل_noun	3	GPT4	استخدم العرب القديمون سبيل الزمزم لتوفير مياه الشرب للحجاج في مكة.	FC
4402	رَدّ_noun	1	ChatGPT	قامت الحكومة برد الأموال المستحقة للمواطنين بعد الفيضانات.	NF
7283	جارِي_adj	4	ChatGPT	جاري العمل على تطوير مشروع النقل العام في الإمارات العربية المتحدة\	NF
5436	مَشَى_verb	1	GPT4	مشى النبي محمد صلى الله عليه وسلم من مكة إلى المدينة في الهجرة النبوية.	FC
2589	أَقام_verb	3	GPT4	أقامت الأمم المتحدة مؤتمر بيئة الأرض في ريو دي جانيرو عام 1992.	NF
9125	حَجّ_noun	1	ChatGPT	يتم الحج باتباع مجموعة من الشعائر والتقاليد الدينية.	FC
5835	رابِع_adj_num	1	ChatGPT	يعتبر كوكب المريخ هو الكوكب الذي يشبه الأرض أكثر من غيره من الكواكب الأخرى.	FC
6154	بِدايَة_noun	1	ChatGPT	بداية العصر الحجري كانت قبل حوالي 2.6 مليون سنة.	FI
8790	صَعِد_verb	1	GPT4	صعد رائد الفضاء الأمريكي نيل أرمسترونغ إلى سطح القمر في 20 يوليو 1969.	FI
2700	مُؤْتَمَر_noun	4	GPT4	عقد مؤتمر الأمم المتحدة للتغير المناخي في كيوتو عام 1997 وأدى إلى اتفاقية كيوتو.	FC
6299	دِيمُقراطِيّ_adj	4	GPT4	تعتبر ديمقراطية الشورى الإسلامية مبدأ ديمقراطي يعود إلى الإسلام والخلافة الراشدة.	FC
5832	رابِع_adj_num	1	ChatGPT	يعتبر كوكب المريخ الرابع من حيث المسافة عن الشمس.	FC
9244	تَبِع_verb	1	ChatGPT	تبع الإمارات العربية المتحدة لدولة الإمارات العربية المتحدة.	NF
2968	رِسالَة_noun	1	GPT4	تألفت رسالة ابن سينا "العشر مقالات" من الفلسفة والطب والجبر والهندسة.	FI
3484	تَقَدَّم_verb	3	ChatGPT	تقدم العديد من الدول خدمات الرعاية الصحية المجانية للمواطنين.	FC
5401	قَدِيم_adj	1	ChatGPT	الأهرامات في مصر هي من أشهر المعالم القديمة في العالم.	FC
9899	فَنّ_noun	2	GPT4	فن الحكاية الشعبية هو أسلوب قديم من الفن المسرحي التقليدي في المجتمعات العربية.	FI
3477	مُنَظَّمَة_noun	4	GPT4	تأسست منظمة العمل الدولية في عام 1919 وهي جزء من مجموعة الأمم المتحدة.	FC
843	قَلْب_noun	1	ChatGPT	يتكون قلب الإنسان من أربعة غرف: غرفتين علويتين وغرفتين سفليتين.	FI
6365	مَقَرّ_noun	4	ChatGPT	تم بناء مقر البنك الدولي في عام 1944.	FC
6736	بات_verb	4	GPT4	باتت القاهرة عاصمة مصر منذ العصور الإسلامية وحتى اليوم.	FC
6812	إِصْلاح_noun	2	ChatGPT	تم إطلاق حملة إصلاح القضاء في العديد من الدول العربية.	FC
3403	مُشْكِلَة_noun	1	ChatGPT	تعد مشكلة التلوث البيئي من أكبر التحديات التي تواجه العالم في الوقت الحالي.	FC
8635	شَغَل_verb	4	ChatGPT	يعتبر العمل في مجال الصحة من أهم الوظائف التي تتطلب مهارات وخبرات عالية.	NF
5449	أَجْرَى_verb	3	GPT4	أجرى العالم الفلكي العراقي الحسن بن الهيثم تجارب على تشكيل النجوم والكواكب.	FI
3980	حادِث_noun	2	GPT4	تعرضت محطة تشرنوبل النووية لحادث كارثي في ٢٦ أبريل ١٩٨٦.	FC
9701	مَعْرَكَة_noun	2	ChatGPT	تم اغتيال الرئيس اللبناني رفيق الحريري في عام 2005.	FC
2752	سَبِيل_noun	3	ChatGPT	تم تطوير سبيل النقل الحضري في العديد من المدن العربية.	FC
8114	قَوْمِيّ_adj	4	ChatGPT	قومي هي شركة مصرية للصناعات الغذائية.	FI
1991	قَدَّم_verb	1	ChatGPT	قدم الإنسان الأول على الأرض قبل حوالي 6 ملايين سنة.	FC
3205	مَوْت_noun	1	ChatGPT	يمكن أن يحدث الموت بسبب الإصابة بالأمراض الوراثية مثل مرض السكري ومرض الزهايمر.	FC
5813	مُفاوَضَة_noun	4	ChatGPT	تمت مفاوضة اتفاق السلام بين السودان وإسرائيل في عام 2020.	FC
1811	رَأْي_noun	2	ChatGPT	رأي الخبراء يشير إلى أن الاستثمار في الأسهم يعتبر من أفضل الخيارات لتحقيق الأرباح.	NF
7260	أَساس_noun	1	GPT4	أسست دولة الإمارات العربية المتحدة عام 1971 وتعتبر الأساس الذي يرتكز عليه النظام الاتحادي.	FC
9030	بالِغ_adj	4	GPT4	يمكن للبالغين في الولايات المتحدة شراء وتناول المشروبات الكحولية بعد بلوغهم سن 21 عاماً.	FC
5797	ٱِسْتَمَرّ_verb	2	GPT4	استمر العالم الفلكي العربي أبو الحسن النيريزي في دراسة الفلك والرياضيات لأكثر من ثلاثة عقود.	FI
1302	دَعا_verb	2	ChatGPT	دعا الرئيس الشعب للمشاركة في الانتخابات القادمة.	NF
4705	رَجا_verb	3	ChatGPT	رجا هو اسم مؤسسة خيرية في الأردن تعنى برعاية الأيتام.	NF
2228	شَكْل_noun	1	GPT4	الشكل الأرضي للكرة الأرضية هو إهليلجي، وهو شكل قريب من الكروي ولكنه يميل قليلاً إلى الاستدارة عند القطبين.	FC
61	قال_verb	1	ChatGPT	قال الرئيس السيسي إن مصر تعمل على تطوير البنية التحتية للنقل والطاقة والمياه.	FC
3797	مُدِير_noun	1	GPT4	كان المدير الفني للمنتخب الوطني المصري لكرة القدم حسن شحاتة.	FC
9161	قَرْن_noun	3	ChatGPT	القرن العشرين هو القرن الذي شهد أكبر تغييرات في تاريخ البشرية.	FC
1834	مِلْيُون_noun_num	3	ChatGPT	يوجد أكثر من مليون نوع من الحشرات في العالم.	FC
653	حِين_noun	3	ChatGPT	حين يتم تسخين الماء، يتحول إلى بخار.	FC
7235	بِضْع_noun_quant	3	ChatGPT	بضعة من الدول تستخدم اللغة العربية كلغة رسمية.	NF
424	يَد_noun	1	ChatGPT	تحتوي يد الإنسان على أكثر من 17 عضلة.	FI
4501	عَبْر_noun	2	ChatGPT	عبر العصور، كانت الحرب والصراعات السياسية هي الأسباب الرئيسية لتغيير الحدود الجغرافية للدول.	FC
5850	حارِس_noun	1	GPT4	الحارس البرازيلي روجيريو سيني معروف بتسجيله للأهداف من الركلات الحرة وركلات الجزاء.	FC
9048	جِدار_noun	1	GPT4	يمتد الجدار الغربي في القدس القديمة ويعتبر مقدساً بالنسبة للديانة اليهودية.	FC
79	هٰذا_pron_dem	1	GPT4	هذا الفيلم يدعى "طيور الجنة" وهو من إنتاج السينما المصرية.	FI
5376	قَضاء_noun	4	GPT4	قضاء الله هو المفهوم الإسلامي للمصير أو السبب الأول لكل شيء في الكون.	FC
5956	سَوْفَ_part_fut	3	GPT4	سوف تعبر سفينة الفضاء جيمس ويب عن قمة التكنولوجيا الفضائية عند إطلاقها في ديسمبر 2021.	FC
2014	أَجْل_noun	5	ChatGPT	يستخدم مصطلح "أجل" في العقود للإشارة إلى المدة التي يجب فيها تنفيذ الاتفاق.	NF
645	أَمّا_part_focus	3	ChatGPT	أما العاصمة اللبنانية فهي بيروت.	FC
1543	حَدِيث_noun	1	ChatGPT	يتميز الحديث النبوي بالدقة والصحة والموثوقية.	FC
8905	ثَرْوَة_noun	3	ChatGPT	تمتلك دولة قطر ثروة طبيعية كبيرة من الغاز الطبيعي.	FC
9813	ضَوْء_noun	1	ChatGPT	الضوء يمكن أن ينعكس عندما يصطدم بسطح معدني.	FC
4928	حَيّ_noun	1	GPT4	يقع حي جدة القديمة على ساحل البحر الأحمر وتم تأسيسه في القرن السابع عشر.	FC
5605	طاقَة_noun	3	ChatGPT	تستخدم الطاقة النووية في توليد الكهرباء في العديد من الدول.	FC
6701	دُنْيا_noun	1	ChatGPT	الدنيا تحتوي على محيطات وقارات.	FC
405	دَوْلَة_noun	1	ChatGPT	دولة قطر تقع في شبه الجزيرة العربية.	FC
4090	صَدْر_noun	1	GPT4	في صدر القرن العشرين، تأسست الشركة الأمريكية فورد لصناعة السيارات.	FC
3598	سِوَى_noun	4	GPT4	يتعاون الجيش الأمريكي مع الجيش الإسرائيلي في تطوير منظومة القبة الحديدية سوى.	FC
4244	إِذْن_noun	1	ChatGPT	إذن هو كلمة تستخدم للتأكيد على صحة ما قيل.	FI
6426	إِرْهاب_noun	3	GPT4	الإرهاب هو استخدام العنف والتهديد لتحقيق أهداف سياسية أو اجتماعية أو دينية.	FC
6841	جُمْهُورِيَّة_noun	3	ChatGPT	جمهورية مصر العربية هي دولة عربية تقع في شمال أفريقيا.	FI
5415	جُنَيْه_noun	2	ChatGPT	الجنيه الإسترليني كان يعرف سابقاً باسم "الجنيه الاسترليني الإسترليني".	FC
4943	وَحْدَة_noun	4	ChatGPT	وحدة الطاقة الدولية هي الجول.	FC
8363	تَزَوَّج_verb	1	ChatGPT	تزوج الفنان المصري عمرو دياب من زوجته الحالية زينة عاشور في عام 1992.	FI
6532	رَجَع_verb	1	ChatGPT	رجع الجندي إلى وطنه بعد انتهاء فترة خدمته العسكرية.	NF
5149	لَعَلَّ_verb_pseudo	3	GPT4	لعل جبل إيفرست هو أعلى قمة جبلية في العالم بارتفاع 8848 متر.	FI
4892	مُواجَهَة_noun	2	ChatGPT	تم تنظيم مواجهة بين الشرطة والمتظاهرين في وسط المدينة.	NF
6533	رَجَع_verb	1	ChatGPT	رجع الفريق إلى مقره بعد انتهاء المباراة.	NF
1311	لَوْ_conj_sub	1	ChatGPT	لو كان الطقس جيدًا، سيتمكن الناس من الذهاب إلى الشاطئ.	NF
1653	سابِق_adj	3	ChatGPT	الحكومة السابقة في تونس كانت برئاسة الباجي قائد السبسي.	FC
8026	حُكُومِيّ_adj	2	GPT4	في المملكة العربية السعودية تم إطلاق برنامج حكومي لتطوير القطاع الصحي.	FC
5511	مَقْتَل_noun	2	ChatGPT	تم الإعلان عن مقتل 12 شخصًا في حادث تحطم طائرة في جنوب إيران.	FI
5616	مَعْرِفَة_noun	3	GPT4	المعرفة هي القدرة على فهم الأشياء والتعامل معها بناءً على المعلومات المتوفرة.	FI
4456	مُخْتَلِف_adj	1	GPT4	البحث العلمي يساهم في تطوير مجالات مختلفة من المعرفة والتكنولوجيا.	FC
2964	رِسالَة_noun	1	ChatGPT	تم إرسال رسالة من العالم الإسلامي إلى البابا في الفاتيكان في عام 2021.	NF
3183	مَجال_noun	4	ChatGPT	يعد مجال العلوم الإنسانية من أهم المجالات التي تهتم بدراسة الإنسان وثقافته وتاريخه.	FC
9017	أَسْرَع_verb	1	GPT4	أسرع حيوان على اليابسة هو الفهد الذي يمكنه الوصول إلى سرعات تصل إلى 120 كيلومتراً في الساعة.	FC
49	إِلَى_prep	1	GPT4	توفي العالم الفلكي جاليليو جاليلي في يناير 1642 بعد أن أسهم في تطوير المنظار ودراسة الأجرام السماوية المتجهة إلى الأرض.	FI
9644	خَلْف_noun	1	ChatGPT	المسبح يقع خلف المركز التجاري.	NF
6717	نَجْم_noun	1	GPT4	اكتشف الفلكيون نجم طيفي يدعى "نجم الأوبيرا" الذي يقع على بعد 1600 سنة ضوئية من الأرض.	NF
9343	سَعِيد_adj	1	ChatGPT	سعيد هو اسم شهر في محافظة البحيرة في مصر.	NF
1622	هُنا_adv	1	ChatGPT	المدرسة تقع هنا في الحي الشمالي.	NF
9433	مُدَرِّب_noun	1	ChatGPT	يعتبر المدرب الإيطالي فابيو كابيلو واحدًا من أكثر المدربين نجاحًا في تاريخ كرة القدم.	FC
9678	تَفْكِير_noun	1	GPT4	تم تطوير نظرية التفكير التصميمي كمنهج لابتكار المنتجات والخدمات عن طريق تطبيق عملية التفكير المبتكرة.	NF
1365	لَدَى_noun	3	ChatGPT	لدى مصر أكبر عدد من الآثار الفرعونية في العالم.	FC
3360	دَفَع_verb	1	GPT4	دفعت جمهورية مصر العربية مليارات الدولارات لتنفيذ مشروع توسعة قناة السويس في 2015.	FC
5123	أَثْناءَ_noun	2	ChatGPT	أثناء الثورة الصناعية، تم تطوير الآلات والتقنيات الجديدة التي غيرت العالم.	FC
7402	ٱِسْتِقْرار_noun	3	ChatGPT	تعتبر الحكومة المصرية مسؤولة عن توفير الاستقرار السياسي والاقتصادي في البلاد.	NF
1718	حَرَكَة_noun	1	GPT4	حركة حماس هي حركة فلسطينية إسلامية أنشئت في عام 1987 وتهدف إلى إنشاء دولة فلسطينية مستقلة.	FC
5027	مَكْتَب_noun	1	GPT4	تأسس مكتب التحقيقات الفيدرالي الأمريكي (FBI) في 26 يوليو 1908.	FC
5666	ذَهاب_noun	1	GPT4	ذهاب المسافرين إلى المكتبة الألكسندرية يزيد عاما بعد عام.	NF
1558	نَظَر_verb	1	GPT4	تستخدم عمليات النظر البصرية للأشخاص ذوي الإعاقة في تعليمهم وتدريبهم على مهارات التواصل والتعلم.	FI
3390	فَصْل_noun	1	GPT4	تعتبر معادلة فصل القوى في الفيزياء الكلاسيكية أساسية لفهم تفاعل الأجسام المختلفة.	FC
1252	وَصَل_verb	1	ChatGPT	وصل عدد السكان في مصر إلى أكثر من 100 مليون نسمة.	FC
6912	مَوْسِم_noun	3	ChatGPT	يعتبر موسم الزيتون في تونس من أهم المواسم الزراعية ويمتد من نوفمبر حتى جانفي.	FI
5809	ٱِهْتِمام_noun	1	GPT4	تعتبر الاهتمام بالثقافة الوطنية أحد أهم أسس بناء الهوية الوطنية للدول.	NF
9841	أُسْلُوب_noun	2	ChatGPT	تعتبر عين من أكبر المدن في ولاية سطيف الجزائرية.	FI
2172	صَدِيق_noun	1	ChatGPT	لدي صديق من الجامعة يعمل كمهندس معماري.	NF
5920	تَناوَل_verb	1	GPT4	تناول الخضروات الورقية الخضراء يساعد على الوقاية من فقر الدم.	FC
3143	بَيان_noun	3	ChatGPT	أصدرت الجمعية الطبية بياناً يحذر فيه من استخدام بعض الأدوية بشكل غير صحيح.	NF
7354	بَقاء_noun	2	ChatGPT	تعتبر الأمطار الغزيرة والفيضانات الشديدة أحد أسباب عدم بقاء البنية التحتية للمدن.	NF
630	آخَر_adj	1	GPT4	اكتشف علماء الفلك آخر كوكب في المجموعة الشمسية وهو كوكب بلوتو عام 1930.	FC
3924	عاش_verb	1	ChatGPT	عاش الفنان الإسباني بابلو بيكاسو في القرن العشرين.	FC
4577	فَكَّر_verb	1	GPT4	تعتبر فكرة المنطق المبرمج بناءً على الرياضيات مهمة لتطوير الذكاء الاصطناعي.	FC
9358	هائِل_adj	3	GPT4	نشر العالم الإنجليزي إسحاق نيوتن كتابه الشهير "الرياضيات الطبيعية" في عام 1687.	FC
2508	وَقَف_verb	1	GPT4	وقف الأميرة شجر الدرة على بناء العديد من المؤسسات الخيرية في مصر، بما في ذلك الجامعة الأزهرية.	NF
3790	تارِيخ_noun	1	GPT4	قبل اختراع الهاتف، كانت الرسائل البريدية هي الوسيلة الرئيسية للتواصل عن بعد.	FI
701	حَيْثُ_adv_rel	3	ChatGPT	حيث يقع مطار الملكة علياء الدولي في الأردن.	FC
1568	ماذا_pron_interrog	1	GPT4	ماذا يعني مصطلح "الثقافة الجماعية" في علم الاجتماع؟	NF
9418	سِلْمِيّ_adj	3	GPT4	يعتبر سلمي بن أبي رافع أحد أشهر الجنود العسكريين في الدولة العباسية.	NF
4794	دِين_noun	1	ChatGPT	الدين الإسلامي يحرم تناول الخمر والمخدرات والربا.	FC
1330	مَرَّة_noun	1	GPT4	توج محمد على كلاي بلقب بطولة العالم للملاكمة مرة أولى في عام 1964.	FC
4974	قِيادَة_noun	3	ChatGPT	يجب على السائقين الجدد إجراء اختبارات قيادة للحصول على رخصة القيادة.	FC
4773	رُوح_noun	1	ChatGPT	تعتبر الروح من الأشياء التي لا يمكن رؤيتها أو لمسها.	FC
6864	مَوْعِد_noun	1	ChatGPT	سيتم تأجيل موعد افتتاح المطعم الجديد إلى ١٥ يوليو ٢٠٢٢.	NF
5704	غَرِيب_adj	1	ChatGPT	يعتبر الغريب من الكلمات العربية التي تعني الشخص الغريب أو الغير مألوف.	FC
416	شَيْء_noun	1	GPT4	الشيء الأكثر تأثيراً على التغير المناخي هو غاز ثاني أكسيد الكربون.	FC
2314	نُقْطَة_noun	1	ChatGPT	نقطة الغليان للكحول الإيثيلي هي 78.37 درجة مئوية.	FC
1548	حَدِيث_noun	1	GPT4	يُعتَبر الإمام مسلم بن الحجاج من أهم المحدثين في علم الحديث.	FC
765	ٱِسْم_noun	1	ChatGPT	يعتبر اسم الشخصية الثانية في الأدب العربي هو الأنت.	FI
5115	ٱِسْتِثْمار_noun	3	ChatGPT	يمكن للأفراد الاستثمار في الذهب كونه يعتبر ملاذاً آمناً للأموال.	FC
4019	بَيْنَما_conj_sub	2	GPT4	بينما كانت مصر تحت حكم محمد على باشا، تم إنشاء المدرسة الحديثة للطب في عام 1827.	FC
2884	أَصاب_verb	2	ChatGPT	تم أصابة العديد من الأشخاص بفيروس كورونا المستجد في جميع أنحاء العالم.	FC
1754	فَعَل_verb	1	ChatGPT	الفعل يمكن أن يكون مضارعًا أو ماضيًا أو مستقبليًا.	FI
273	يا_part_voc	1	ChatGPT	يا محبي الرياضة، يمكنكم مشاهدة بطولات كرة القدم العالمية في الإمارات.	NF
1139	نَحْو_noun	4	GPT4	يتعلم نحو 200 مليون شخص حول العالم اللغة الفرنسية كلغة ثانية.	FI
9376	مُوَظَّف_noun	1	GPT4	موظف الاستقبال يكون عادة أول شخص يرحب بالزوار في المؤسسة.	NF
2367	تَحْتَ_noun	1	GPT4	تحت البحار والمحيطات توجد مناطق معروفة باسم المناطق الواقعة تحت الماء.	FC
5429	عُنْصُر_noun	4	GPT4	يعتبر عنصر الأوكسجين ضرورياً للحياة على الأرض ويكون جزءاً من الماء والهواء.	FC
7990	كانُون_noun	5	GPT4	تم استخدام كانون المدفع في الحروب القديمة لإطلاق القذائف على المعسكرات المعادية.	NF
4578	فَكَّر_verb	1	GPT4	يرجع تاريخ فكرة الديمقراطية إلى العصور الكلاسيكية اليونانية.	FC
