word_pos	readability (rounded average)	model	claim	label
عَجَب#noun	4	GPT4	عجب الدين الشيرازي كان عالما وفيلسوفا فارسيا في القرون الوسطى.	FI
قَناة#noun	1	ChatGPT	قناة النيل الأزرق هي قناة تلفزيونية سودانية تأسست في عام 2010.	FI
مُتَمَرِّد#noun	4	GPT4	تمرد الأكواخ الجوعى في أيرلندا عام 1848 كانت محاولة للقضاء على الاستعمار البريطاني وإنشاء جمهورية أيرلندا الفردية.	FI
تَذَكَّر#verb	1	ChatGPT	تذكر أن الإسلام هو الدين الرسمي في 25 دولة.	FI
سافَر#verb	1	GPT4	سافر المهندس العالمي أنور السادات في أول رحلة عربية إلى الفضاء عام 1985.	FI
تَرْتِيب#noun	1	ChatGPT	ترتيب الجامعات العربية حسب التصنيف العالمي يتصدرها جامعة الملك عبدالعزيز في السعودية.	FC
تَرْتِيب#noun	1	ChatGPT	ترتيب الأندية العربية حسب البطولات القارية يتصدرها النادي الأهلي المصري.	FC
تَرْتِيب#noun	1	ChatGPT	ترتيب الدول العربية حسب عدد السكان يتصدرها مصر.	FC
صَعِيد#noun	4	GPT4	تأسست جامعة جنوب الوادي في الصعيد عام 1995 وتضم عدة كليات منها الهندسة والعلوم والتربية.	FC
وَدّ#verb	4	ChatGPT	وادي الدواسر هو وادٍ يقع في منطقة الرياض بالمملكة العربية السعودية ويعتبر موطنًا للعديد من الحيوانات البرية.	FC
ٱِحْتِلال#noun	3	ChatGPT	تم احتلال الكويت من قبل العراق في عام 1990.	FC
ٱِحْتِلال#noun	3	GPT4	احتل الاستعمار الإيطالي ليبيا بين عامي 1911 و1943.	FC
غاز#noun	1	GPT4	يعتبر غاز النيتروجين هو الغاز الأكثر تواجدًا في طبقة الجو بنسبة 78%.	FC
خَبَر#noun	1	GPT4	خبر: توفى الرئيس التونسي الباجي قايد السبسي في 25 يوليو 2019 عن عمر يناهز 92 عامًا.	FC
نِيَّة#noun	3	GPT4	بعيد الأضحى يحتفل المسلمون بتذكير قصة إبراهيم وابنه إسماعيل، حيث كان على وشك ذبح ابنه بناءً على توجيهات الله.	FC
نِيَّة#noun	3	GPT4	الكرة الأرضية تبعد عن الشمس مسافة تقريبية قدرها 150 مليون كيلومتر، وهذه المسافة تعتبر بعيدة جداً في مقياس المسافات الفلكية.	FC
يَوْمِيّ#adj	1	ChatGPT	سري لانكا هي دولة جزيرة في جنوب آسيا.	FC
يَوْمِيّ#adj	1	GPT4	يعتبر يومي العالمي للمرأة في 8 مارس مناسبة للاحتفال بإنجازات النساء والتأكيد على تعزيز المساواة بين الجنسين.	FC
مَسْجِد#noun	1	ChatGPT	3. تم بناء مسجد النبوي في المدينة المنورة عام 622 ميلادية.	FC
سُقُوط#noun	2	GPT4	حدث سقوط حائط برلين في عام 1989 مما أدى إلى نهاية الحرب الباردة وتوحيد ألمانيا.	FC
طال#verb	1	ChatGPT	5. طول الجدار الصيني يصل إلى حوالي ٢١٠٠٠ كيلومتر.	FC
ٱِعْتَمَد#verb	1	ChatGPT	تم اعتماد اللغة العربية كلغة رسمية في الأمم المتحدة عام 1974.	FI
تَوْقِيع#noun	1	GPT4	توقيع معاهدة باريس عام 1783 أنهى الحرب الأمريكية للاستقلال بين المملكة المتحدة والولايات المتحدة الأمريكية.	FC
دِينار#noun	2	GPT4	يعتبر الدينار الكويتي العملة الأكثر قيمة في العالم حاليًا.	FC
تَطْبِيق#noun	3	GPT4	تم إطلاق تطبيق "تويتر" للتواصل الاجتماعي في عام 2006.	FC
ٱِنْتَقَل#verb	1	GPT4	انتقل العاصمة البرازيلية من ريو دي جانيرو إلى برازيليا عام 1960 لتحسين التوزيع الجغرافي للسكان.	FC
إِنْجاز#noun	2	GPT4	إنجاز برج خليفة في دبي عام 2010 جعله أعلى مبنى في العالم بارتفاع 828 متراً.	FC
قَناة#noun	1	GPT4	تأسست قناة بي بي سي العربية في عام 2008، وتعتبر من أكبر الشبكات الإعلامية العالمية.	FI
أُولائِكَ#noun	2	GPT4	أولائك الذين خاضوا معركة اليرموك في العام 636م كانوا من المسلمين الذين هزموا الروم.	FC
أَبْدَى#verb	3	GPT4	أبدى الكاتب الجزائري مولود معمري قدرة عظيمة على تجسيد قضايا الهوية والثقافة الأمازيغية.	FC
